"id","account_type","device_id","duration","end_date_when_not_saved","installer_package","ip_address","os_version","screen_views","start_date","user_agent","version"
"cTPTT2O8jT2P1l7","hotel","1qa06R821","95","2022-10-26T14:16:16.574Z","com.android.vending","10.28.164.72","12","[{""M"":{""duration"":{""N"":""64""},""screen_name"":{""S"":""qr""},""log_time"":{""S"":""Wed Oct 26 16:14:42 2022""}}}]","2022-10-26T14:14:41.494Z","""Mozilla/5.0 (Linux; Android 12; SM-G991B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36""","1.0.12"
"LdFVt9ia0Sek4Od","hotel","1qa06R821","50","2022-10-25T16:27:08.911Z","com.android.vending","10.28.142.95","12","[{""M"":{""duration"":{""N"":""4""},""screen_name"":{""S"":""profile""},""log_time"":{""S"":""Tue Oct 25 18:26:33 2022""}}},{""M"":{""duration"":{""N"":""5""},""screen_name"":{""S"":""qr""},""log_time"":{""S"":""Tue Oct 25 18:26:39 2022""}}},{""M"":{""duration"":{""N"":""2""},""screen_name"":{""S"":""settings""},""log_time"":{""S"":""Tue Oct 25 18:26:42 2022""}}}]","2022-10-25T16:26:19.152Z","""Mozilla/5.0 (Linux; Android 12; SM-G991B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36""","1.0.12"
"UUn8cHpqd7AcrQQ","hotel","1qa06R821","1","2022-10-28T16:31:00.259Z","com.android.vending","10.26.6.184","12","","2022-10-28T16:30:59.209Z","""Mozilla/5.0 (Linux; Android 12; SM-G991B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36""","1.0.12"
"PaC13PkU01XC994","hotel","1qa06R821","3","2022-10-26T14:14:01.906Z","com.android.vending","10.28.164.72","12","","2022-10-26T14:13:59.088Z","""Mozilla/5.0 (Linux; Android 12; SM-G991B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36""","1.0.12"
"ZseHfkijX1jwO0q","hotel","1qa06R821","29","2022-10-26T14:13:49.010Z","com.android.vending","10.28.164.72","12","[{""M"":{""duration"":{""N"":""4""},""screen_name"":{""S"":""profile""},""log_time"":{""S"":""Wed Oct 26 16:13:32 2022""}}}]","2022-10-26T14:13:20.237Z","""Mozilla/5.0 (Linux; Android 12; SM-G991B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36""","1.0.12"
"POirSJPD1NaPqfD","hotel","1qa06R821","3","2022-10-26T14:14:01.906Z","com.android.vending","10.28.164.72","12","","2022-10-26T14:13:59.088Z","""Mozilla/5.0 (Linux; Android 12; SM-G991B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36""","1.0.12"
"YX8ppHVahYFIvbB","hotel","1qa06R821","87","2022-10-25T16:28:39.882Z","com.android.vending","10.28.142.95","12","[{""M"":{""duration"":{""N"":""12""},""screen_name"":{""S"":""qr""},""log_time"":{""S"":""Tue Oct 25 18:27:15 2022""}}},{""M"":{""duration"":{""N"":""14""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""Tue Oct 25 18:28:19 2022""}}},{""M"":{""duration"":{""N"":""2""},""screen_name"":{""S"":""pdf_viewer""},""log_time"":{""S"":""Tue Oct 25 18:28:25 2022""}}},{""M"":{""duration"":{""N"":""4""},""screen_name"":{""S"":""posts""},""log_time"":{""S"":""Tue Oct 25 18:28:33 2022""}}},{""M"":{""duration"":{""N"":""75""},""screen_name"":{""S"":""profile""},""log_time"":{""S"":""Tue Oct 25 18:28:34 2022""}}}]","2022-10-25T16:27:12.895Z","""Mozilla/5.0 (Linux; Android 12; SM-G991B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36""","1.0.12"
"OVq7eUNJbyBidx8","hotel","1qa06R821","31","2022-10-26T14:17:01.254Z","com.android.vending","10.28.164.72","12","","2022-10-26T14:16:30.035Z","""Mozilla/5.0 (Linux; Android 12; SM-G991B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36""","1.0.12"
