"account_id","category_id","c_index","created_date","custom_type","post_count","score","type","update_date"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","69iSKQr39","3","2022-11-19T15:00:21.069Z","Test 3","0","0.5","custom","2022-11-19T15:00:21.069Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","elpUQcVyx","2","2022-11-19T15:00:12.587Z","Test 2","0","0.5","custom","2022-12-05T00:03:01.163Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","fwcSmeWtC","1","2022-08-30T16:23:17.938Z","TEST C","25","0.5","custom","2022-11-11T02:23:16.757Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","Kpi6ITx1V","1","2022-06-22T08:18:17.448Z","","1","0.7","restaurants","2022-06-22T08:21:03.657Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","hZiu6CrJV","2","2022-10-25T16:27:47.692Z","","0","0.3","hotels","2022-10-25T16:27:47.692Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","43kihBhcj","1","2022-06-13T03:18:11.749Z","Stores","2","0.5","custom","2023-01-18T23:07:09.244Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","NHHkOqC1I","0","2022-06-13T03:23:42.150Z","Restaurants near the hotel","4","0.5","custom","2022-10-27T23:25:58.923Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","asZsPztwZ","3","2022-06-13T03:20:11.749Z","Enjoying Paris via its museums","4","0.5","custom","2022-11-13T02:27:20.684Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","zp0OYfK9a","2","2022-06-13T03:16:29.306Z","Places to chill","3","0.5","custom","2023-01-20T20:12:16.188Z"
