"account_id","id","city","coordinates","country","device_id","hl","ip","open_from_qr_code","platform","viewing_date"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","ogVWAf","strasbourg","[{""N"":""48.5839""},{""N"":""7.7455""}]","fr","2047358982.1667950602534","en","92.184.124.75","false","web","2023-01-18T22:24:04.675Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","oxXlsv","paris","[{""N"":""48.8534""},{""N"":""2.3488""}]","fr","7501833626.1668127320122","fr","92.184.106.35","false","web","2022-11-11T00:49:27.664Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","zgYSmM","bad rappenau","[{""N"":""49.2385""},{""N"":""9.1018""}]","de","2047358982.1667950602534","en","37.24.81.254","false","web","2023-02-02T21:28:54.150Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","0BkTgS","paris","[{""N"":""48.8534""},{""N"":""2.3488""}]","fr","2047358982.1667950602534","fr","92.184.104.197","false","web","2022-11-12T14:55:42.059Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","12344","Bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","UKJEA06V3","fr","","false","","2022-10-25T16:36:39.971Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","123441","Bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","UKJEA06Vl","fr","","false","","2022-10-25T16:05:57.920Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","123442","Bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","UKJEA06Vl","fr","","false","","2022-10-25T15:56:02.380Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","123450","Bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","UKJEA06Vl","fr","","false","","2022-10-25T16:31:57.345Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","123459","Bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","UKJEA06Vl","fr","","false","","2022-10-25T16:36:39.971Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","27YW3M","köln","[{""N"":""50.9333""},{""N"":""6.95""}]","de","1263166334.1674113144238","fr","80.187.73.208","false","web","2023-01-19T07:26:03.032Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","8psRNO","marseille","[{""N"":""43.297""},{""N"":""5.3811""}]","fr","2047358982.1667950602534","fr","178.249.212.31","false","web","2023-01-01T21:29:42.674Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","AJ8u7b","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","6864572312.1668906081515","fr","80.9.240.131","false","app","2022-12-04T15:01:47.376Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","B7vnkg","bad rappenau","[{""N"":""49.2385""},{""N"":""9.1018""}]","de","8292346666.1673854309506","fr","37.24.81.254","false","web","2023-01-16T07:33:30.375Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","D8gQ8C","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","5752083506.1668813242600","en","80.9.240.131","false","app","2023-01-13T07:30:13.720Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","EXtf5S","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","5752083506.1668813242600","en","80.9.240.131","false","app","2022-11-29T15:28:22.358Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","FDjXsc","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","6864572312.1668906081515","fr","80.9.240.131","false","app","2022-12-05T20:39:03.846Z"
"eu-west-1:992ccd8a-ac26-4a43-a67f-c1cc7d1c6034","HbrIqt","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","6864572312.1668906081515","fr","80.9.240.131","false","app","2022-12-24T12:15:54.333Z"
